32
    idleRt                6           229 132        player          0  0        5 0             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1
    runRt		          8           229 132        player          0  1        1 2             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    attackRt	          12          229 132        player          2  2        1 4             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    deathRt		          11          229 132        player          2  4        0 6             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    hurtRt		          4           229 132        player          1  6        3 6             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    jumpRt		          3           229 132        player          4  6        0 7             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    upToFallRt	          2           229 132        player          1  7        2 7             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    fallRt		          3           229 132        player          3  7        5 7             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    edgeGrabRt	          5           229 132        player          0  8        4 8             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    idleEdgeRt	          6           229 132        player          5  8        4 9             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    wallSlideRt	          3           229 132        player          5  9        1 10             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    crouchRt	          6           229 132        player          2  10        1 11             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    dashRt		          7           229 132        player          2  11        1 12             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    dashAttackRt          10          229 132        player          3  12        0 14             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    slideRt		          5           229 132        player          1  14        2 15             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    ladderGrabRt          8           229 132        player          3  15        4 16             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    idleLt		          6           229 132        player          0  17        5 17             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    runLt		          8           229 132        player          0  18        1 19             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    attackLt	          12          229 132        player          2  19        1 21             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    deathLt		          11          229 132        player          2  21        0 23             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    hurtLt		          4           229 132        player          1  23        3 23             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    jumpLt		          3           229 132        player          4  23        0 24             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    upToFallLt	          2           229 132        player          1  24        2 24             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    fallLt		          3           229 132        player          3  24        5 24             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    edgeGrabLt	          5           229 132        player          0  25        4 25             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    idleEdgeLt	          6           229 132        player          5  25        4 26             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    wallSlideLt	          3           229 132        player          5  26        1 27             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    crouchLt	          6           229 132        player          2  27        1 28             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    dashLt		          7           229 132        player          2  28        1 29             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    dashAttackLt          10          229 132        player          3  29        0 31             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    slideLt		          5           229 132        player          1  31        2 32             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
    ladderGrabLt          8           229 132        player          3  32        4 33             0                  6                     6                     0               horizontal         130             0              0        0                          0                0                         1         
// |  Name          |  NumFrames | FrameSize: X Y | TextureType | Start: X Y |  End: X Y |  innerStartColOffset | texSheetPitch  |  InnerAnimPitch  |  FirstFrameIsOffset  | Layout Type  | FrameDelay  |  StartDelay  |  EndDelay  |  AlwaysDelayStart  |  AlwaysDelayEnd |  NumRepeats(if not looping)  | Loops
//  Key
