10
	idleRt              4			300 300           goblin         0 0          3 0         0                     24               24                    0                   horizontal       130                  0         0             0                       0                    0                    1                                                                                                 
	runRt				6			300 300           goblin		 4 0		  9 0         0                     24               24                    0                   horizontal       130                  0         0             0                       0                    0                    1
	attackRt			6			300 300           goblin		 10 0		  15 0         0                     24               24                    0                   horizontal       130                  0         0             0                       0                    0                    1
	hurtRt				4			300 300           goblin		 16 0		  19 0         0                     24               24                    0                   horizontal       130                  0         0             0                       0                    0                    1
	deathRt				4			300 300           goblin		 20 0		  23 0         0                     24               24                    0                   horizontal       130                  0         0             0                       0                    0                    1
	idleLt				4			300 300           goblin		 0 1		  3 1         0                     24               24                    0                   horizontal       130                  0         0             0                       0                    0                    1
	runLt				6			300 300           goblin		 4 1		  9 1         0                     24               24                    0                   horizontal       130                  0         0             0                       0                    0                    1
	attackLt			6			300 300           goblin		 10 1		  15 1         0                     24               24                    0                   horizontal       130                  0         0             0                       0                    0                    1
	hurtLt				4			300 300           goblin		 16 1		  19 1         0                     24               24                    0                   horizontal       130                  0         0             0                       0                    0                    1
	deathLt				4			300 300           goblin		 20 1		  23 1         0                     24               24                    0                   horizontal       130                  0         0             0                       0                    0                    1
// |  Name          |  NumFrames | FrameSize: X Y | TextureType | Start: X Y |  End: X Y |  innerStartColOffset | texSheetPitch  |  InnerAnimPitch  |  FirstFrameIsOffset  | Layout Type  | FrameDelay  |  StartDelay  |  EndDelay  |  AlwaysDelayStart  |  AlwaysDelayEnd |  NumRepeats(if not looping)  | Loops
//  Key
